TEAM,CONF,G,W,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,POSTSEASON,SEED,Win PCT
Stanford,P12,33,14,52.4,51.5,18.9,18.3,31.2,26.4,29.4,28.6,N/A,N/A,42.42424242
Utah Tech,WAC,30,14,53.2,53.8,21.4,20,28.7,26.8,44.8,35,N/A,N/A,46.66666667
LSU,SEC,33,14,47.3,51.8,18.4,17.5,31.7,28.8,33.7,30.3,N/A,N/A,42.42424242
Portland,WCC,31,14,53.8,54.5,18,16.9,24.1,30.2,43.3,27.7,N/A,N/A,45.16129032
Detroit,Horz,32,14,51.4,53.6,17.6,17.1,35.8,29.7,27.2,28.9,N/A,N/A,43.75
Jackson St.,SWAC,33,14,47.5,52.5,22,19.1,32.9,29.1,32.9,34,N/A,N/A,42.42424242
Wagner,NEC,26,15,44.9,49.1,19.1,20.9,34.4,24.8,25.2,47,N/A,N/A,57.69230769
New Hampshire,AE,28,15,45.8,49.1,15,16.2,26,27.4,29.6,30.2,N/A,N/A,53.57142857
Gardner Webb,BSth,29,15,50.7,49.1,19.5,20.3,28.5,25.1,34.8,39.6,N/A,N/A,51.72413793
Massachusetts,A10,31,15,46.4,50.2,20.2,19.2,34.5,27.9,32.2,32.4,N/A,N/A,48.38709677
Oklahoma,B12,32,15,52.4,48,20,15.5,23.7,27.2,30.1,30.1,N/A,N/A,46.875
Buffalo,MAC,30,15,49.5,52.5,19.2,18.3,32.2,29.1,32.1,36.4,N/A,N/A,50
Winthrop,BSth,30,15,55.1,54.8,20.6,17.4,25.9,34.2,41.6,31,N/A,N/A,50
UT Rio Grande Valley,WAC,28,15,51.2,52,22.2,16.9,29,29.5,45.9,38.9,N/A,N/A,53.57142857
Denver,Sum,30,15,52.3,51.7,21.4,15.6,29.8,27.4,39.4,27.7,N/A,N/A,50
Boston University,Pat,31,15,47,50.5,17.8,18.3,28.7,24.6,29,36.5,N/A,N/A,48.38709677
Southern,SWAC,30,15,48.5,51.4,20.5,23,24.4,28.6,34.5,42.9,N/A,N/A,50
Colorado St.,MWC,32,15,54.8,52.2,16.7,17.9,19.6,27.1,29.8,29.6,N/A,N/A,46.875
Georgia Tech,ACC,31,15,48.5,50.1,15.6,15.9,27.5,29.9,23.5,30.8,N/A,N/A,48.38709677
Richmond,A10,33,15,51.2,49.6,17.1,17.1,21,25.4,33,26.2,N/A,N/A,45.45454545
Pacific,WCC,31,15,52.6,54,16.2,17.9,22.9,31.2,33.1,36.4,N/A,N/A,48.38709677
Louisiana Tech,CUSA,30,15,50.9,54,19.9,21.3,30.1,28.1,28.4,38.5,N/A,N/A,50
Bellarmine,ASun,30,15,51.7,54.7,18.2,17.7,20.6,28.1,25.4,31.8,N/A,N/A,50
Alabama A&M,SWAC,30,15,48.6,49.4,21.4,21.4,29.5,33.9,35.9,41.8,N/A,N/A,50
La Salle,A10,34,15,48.5,51,18.1,17.9,30.5,30.5,28.3,31.6,N/A,N/A,44.11764706
Rider,MAAC,29,16,49.5,50.3,17.8,16.5,33.8,28.3,29.3,38.6,N/A,N/A,55.17241379
Lehigh,Pat,28,16,49.8,50.3,17.4,16.6,18.8,26.7,31.1,28.5,N/A,N/A,57.14285714
Western Illinois,Sum,27,16,50.1,53.4,15.1,16.4,26.9,26.7,31.4,27.4,N/A,N/A,59.25925926
Niagara,MAAC,30,16,50.3,49.8,18.5,16.9,26.5,28.6,30,33.5,N/A,N/A,53.33333333
Nicholls St.,Slnd,27,16,50.3,52.5,18.5,23.7,29.3,33.7,27.6,47.6,N/A,N/A,59.25925926
Texas Tech,B12,32,16,52.3,48.9,19.9,19.9,32.1,30.1,34.8,28.4,N/A,N/A,50
Nebraska,B10,32,16,51.7,49.9,18.6,17.7,24.7,28.3,28.2,21.9,N/A,N/A,50
Temple,Amer,32,16,49.7,48.7,19.8,16.5,28.7,29,34.6,31.5,N/A,N/A,50
Washington,P12,32,16,48.8,47.1,19.9,18.4,26.4,34.6,31.7,25.4,N/A,N/A,50
Davidson,A10,31,16,50.1,50.8,16.2,17.3,24.9,27.8,32.8,26.7,N/A,N/A,51.61290323
Appalachian St.,SB,29,16,48.7,47.9,16.3,17.1,24.5,28.8,29.3,24.8,N/A,N/A,55.17241379
Georgia,SEC,32,16,47.1,49.8,19.3,16.8,30.5,30.5,40.5,28.9,N/A,N/A,50
George Washington,A10,31,16,53,52,17.6,15.5,26.5,29.7,34.5,27.7,N/A,N/A,51.61290323
USC Upstate,BSth,30,16,50.7,50.1,19.2,20.5,24.6,32.2,31.4,42.8,N/A,N/A,53.33333333
Florida,SEC,33,16,49.4,46.3,16.1,17.8,23.8,30.7,34.5,29.2,N/A,N/A,48.48484848
Boston College,ACC,33,16,48.7,51.5,18.3,18.3,27.6,28.3,27.3,27.6,N/A,N/A,48.48484848
Saint Joseph's,A10,33,16,50.2,50.5,18.2,18.9,28.9,30.7,34.2,32.8,N/A,N/A,48.48484848
East Carolina,Amer,33,16,47.1,49.2,19.2,17.4,33,28.9,37.1,33.1,N/A,N/A,48.48484848
North Dakota St.,Sum,31,16,51.7,50.8,16.9,12.4,24.4,22.6,32.2,27.1,N/A,N/A,51.61290323
Robert Morris,Horz,31,16,49.2,49.6,19.5,19.1,29.7,28.5,26.9,31.1,N/A,N/A,51.61290323
Tennessee Tech,OVC,30,16,51.4,51.7,17.8,18,23.8,30.2,29.9,25.8,N/A,N/A,53.33333333
Southern Indiana,OVC,30,16,50.2,51.7,18.2,16.6,32.1,25.9,33.5,39.8,N/A,N/A,53.33333333
Sacred Heart,NEC,32,16,48.4,50.2,18.8,19.4,28.8,30.8,27.6,26.5,N/A,N/A,50
Campbell,BSth,32,16,52.7,52.5,18.1,18.4,24.4,27.8,38,32.1,N/A,N/A,50
Ohio St.,B10,35,16,52,48.9,16.1,15.9,31.5,28.6,26.6,28.1,N/A,N/A,45.71428571
Texas St.,SB,32,16,48.2,50.9,17.9,18.6,31.6,28.5,32.5,41.7,N/A,N/A,50
Cornell,Ivy,26,17,54.8,55.7,16.7,21.9,28.8,29,28.5,30.9,N/A,N/A,65.38461538
Penn,Ivy,29,17,53.3,49.3,18.9,14.9,30.1,27.9,29.5,31.2,N/A,N/A,58.62068966
Bryant,AE,28,17,52,50,18.7,15.8,29,25.2,32.9,31.9,N/A,N/A,60.71428571
Montana,BSky,30,17,53.8,51.2,17.3,15.9,24.4,25.1,29.1,37.9,N/A,N/A,56.66666667
Stetson,ASun,29,17,53.5,52.9,15.9,14.3,29.4,28.1,25.8,30,N/A,N/A,58.62068966
Utah,P12,32,17,48.9,45,18,15.2,31.3,27.4,29.2,24.4,N/A,N/A,53.125
Wichita St.,Amer,32,17,50.7,47.5,18.2,16.9,29.1,28.2,30.8,25.9,N/A,N/A,53.125
Syracuse,ACC,32,17,51.6,51.2,17,18.7,30,33.6,30.7,21.7,N/A,N/A,53.125
Missouri St.,MVC,31,17,50.1,49.3,19.1,18.6,33.2,26.9,27.2,30.4,N/A,N/A,54.83870968
